gender,state,age,income,imp.challenge,imp.unlocks,imp.customize,imp.difficulty,imp.characters,imp.storyline,imp.mastery,imp.backstory,imp.dominate,imp.completion,imp.wealth,imp.fantasy,imp.items,imp.power,imp.offbeat,imp.collect,enj.excitement,enj.destruction,enj.others,enj.react,enj.duels,enj.strategy,enj.roleplay,enj.competition,enj.decisions,enj.common.goal,enj.planning,enj.immersion,enj.helping,enj.fast,enj.guns,enj.gore,enj.blow.up,freq.explore,freq.experiment,freq.study,freq.char.creation,freq.stats,freq.customize,freq.test.world,gg.game.presented,gg.maxprice,rank.WarriorGuild,rank.SeraphGuardians,rank.Evercrest,rank.DevilsGate,rank.Marksman,rank.QuestoftheTitan
male,PA,25,66000,4,3,1,2,6,7,4,7,4,3,2,3,5,4,1,4,5,7,4,6,6,5,4,4,5,4,3,3,3,6,6,5,5,1,1,3,1,2,3,1,Evercrest,54,3,2,6,1,4,5
male,CA,31,54000,4,2,4,6,7,5,5,5,4,1,1,7,6,5,6,1,5,2,7,3,2,6,4,3,5,7,5,5,6,4,1,3,3,5,4,4,5,2,5,6,Evercrest,70,2,4,1,3,6,5
female,TX,38,56000,1,3,1,1,6,6,2,7,2,3,1,1,4,3,2,4,6,6,3,5,1,5,3,2,3,4,3,2,4,4,7,6,6,3,1,2,4,3,1,1,Warrior Guild,40,5,2,3,1,6,4
male,AR,36,58000,3,7,4,3,4,5,3,4,2,5,3,1,3,2,1,7,5,3,2,2,1,3,2,1,3,2,5,2,5,2,3,4,2,3,1,2,3,5,4,2,Warrior Guild,48,5,1,4,6,3,2
female,CA,36,71000,5,4,6,5,7,7,3,7,5,5,7,5,5,6,4,5,6,2,1,6,4,5,6,3,4,2,6,7,3,4,5,3,2,6,4,4,6,6,7,4,Evercrest,59,5,1,4,6,3,2
female,NE,20,24000,6,4,2,4,4,4,3,3,5,5,4,3,3,4,4,3,5,7,6,6,6,2,3,4,1,3,1,4,5,6,4,5,6,3,3,3,1,4,3,3,Seraph Guardians,28,1,3,6,2,4,5
male,TX,48,78000,2,7,4,3,7,7,2,7,2,7,7,7,6,7,4,7,6,4,2,3,1,4,6,2,2,2,3,7,2,5,3,5,3,6,5,3,3,6,2,5,Evercrest,,6,1,4,5,3,2
female,AR,30,38000,4,6,5,5,7,7,3,5,4,5,4,4,5,5,5,6,7,1,2,3,3,4,6,4,3,2,4,6,3,6,2,1,1,3,5,3,3,5,4,5,Seraph Guardians,49,5,2,3,6,4,1
female,WI,31,67000,5,3,3,4,6,5,3,3,2,3,1,2,2,1,1,2,5,7,2,6,3,4,1,3,2,2,3,2,2,5,6,7,6,2,2,4,2,2,3,2,Seraph Guardians,58,1,3,5,2,4,6
male,CA,47,102000,1,5,3,2,6,7,3,7,2,6,3,7,7,7,4,7,4,1,3,4,1,4,7,2,4,2,3,7,4,4,1,1,1,2,4,3,4,3,2,2,Warrior Guild,76,5,1,3,6,4,2
male,NC,30,57000,7,2,3,7,3,4,6,4,5,1,4,4,3,3,5,1,4,5,4,7,3,6,4,1,4,6,7,2,5,6,1,2,1,6,5,6,4,4,5,5,Evercrest,60,1,4,3,5,2,6
female,IN,20,11000,2,2,3,2,7,7,3,7,5,1,7,5,4,6,2,3,6,7,6,2,5,2,3,7,2,3,2,4,4,5,7,7,7,4,3,4,4,4,4,4,Seraph Guardians,29,4,1,3,2,6,5
female,NV,20,30000,3,2,4,3,6,5,2,5,4,2,1,6,5,4,3,1,3,2,6,4,5,1,5,6,3,7,2,6,7,3,3,2,2,3,3,4,4,1,3,3,Evercrest,39,3,5,1,2,6,4
male,NY,35,85000,6,6,3,5,7,7,3,7,4,5,5,5,5,4,1,7,3,4,1,3,3,2,5,4,2,1,2,4,2,2,3,5,5,3,2,4,2,5,1,1,Evercrest,62,4,1,5,6,3,2
male,IN,25,38000,7,3,5,6,3,5,6,5,1,4,5,4,3,2,6,4,6,4,5,4,3,7,3,4,5,5,6,4,4,7,4,6,3,6,7,7,5,5,5,5,Warrior Guild,48,4,1,2,3,5,6
male,AZ,22,36000,2,2,2,5,3,3,4,4,4,1,4,5,5,4,2,1,5,5,4,4,6,7,5,5,5,5,3,4,5,6,5,3,5,4,3,2,3,2,5,3,Evercrest,40,2,4,3,1,5,6
female,NY,48,107000,6,6,2,4,3,3,5,3,3,4,1,2,1,1,4,3,4,5,1,2,2,6,2,3,6,3,7,2,1,3,3,4,2,4,5,6,1,1,3,5,Evercrest,67,6,1,4,3,2,5
male,MA,38,112000,5,4,2,6,2,2,5,1,5,2,3,3,3,5,5,5,4,6,7,4,3,6,5,4,5,7,5,3,5,4,4,5,3,7,4,5,2,4,3,4,Evercrest,57,2,3,5,1,4,6
female,HI,21,38000,7,4,5,7,3,4,7,6,5,3,4,5,4,6,7,3,6,1,5,6,5,7,4,5,6,6,7,5,6,7,1,1,2,7,5,6,6,3,4,7,Warrior Guild,45,3,1,2,4,5,6
female,NY,23,30000,6,2,5,7,7,7,5,7,4,1,3,4,3,5,7,2,5,4,4,4,5,5,7,5,5,4,4,5,5,2,3,4,3,5,6,5,5,5,3,6,Evercrest,39,4,1,2,5,6,3
male,NJ,52,198000,3,4,1,4,4,3,3,4,3,4,5,1,3,2,2,5,4,5,2,4,3,5,2,1,4,2,7,1,4,7,4,5,5,2,3,2,1,6,1,2,Seraph Guardians,65,5,1,6,3,2,4
female,MO,18,5000,4,3,3,5,6,7,5,6,4,4,3,5,6,4,5,2,4,2,6,3,3,4,3,3,4,6,4,3,6,4,4,3,2,3,5,4,3,4,2,5,Evercrest,25,3,2,1,4,6,5
female,FL,26,50000,6,5,6,5,7,6,5,4,4,3,6,5,5,6,1,5,6,3,4,4,4,3,6,3,3,2,3,4,4,4,1,3,2,1,1,5,5,6,5,1,Seraph Guardians,52,4,1,5,6,2,3
male,MN,42,92000,7,7,1,6,1,3,5,2,1,7,4,1,1,1,5,7,2,3,2,4,5,6,2,3,7,5,7,1,2,4,2,3,3,3,3,6,1,4,1,5,Evercrest,59,5,2,6,4,1,3
male,NY,62,124000,2,5,5,4,3,4,3,4,1,4,3,3,4,3,3,6,3,5,1,3,1,6,3,1,5,1,6,4,1,5,3,3,2,3,3,5,6,4,5,4,Evercrest,84,6,1,4,5,3,2
female,VA,21,16000,4,4,4,3,6,3,5,4,4,6,3,4,4,2,2,5,5,2,5,4,6,5,4,2,6,5,7,4,6,5,3,1,1,2,2,5,2,3,4,1,Warrior Guild,29,3,1,5,2,4,6
female,CA,27,46000,3,7,3,4,2,2,1,2,4,7,1,2,4,3,2,6,4,1,6,5,2,1,3,2,1,4,1,2,6,2,1,3,1,1,1,1,4,3,4,1,Warrior Guild,39,1,2,5,6,4,3
male,GA,40,112000,5,6,7,3,7,7,5,7,2,5,6,6,7,6,1,5,3,1,2,5,4,5,7,3,2,1,3,7,3,3,1,1,2,1,4,4,6,5,6,2,Seraph Guardians,99,5,1,3,6,4,2
female,UT,21,24000,7,5,4,6,4,5,7,5,6,7,3,6,7,6,5,6,4,3,4,6,7,5,6,6,6,5,6,7,3,6,1,3,2,6,6,7,5,5,4,6,Warrior Guild,37,2,1,3,5,6,4
female,MA,27,52000,3,4,2,4,7,7,2,5,2,3,3,4,4,3,3,6,7,3,4,4,2,3,6,4,4,1,3,7,2,5,4,6,6,5,5,2,2,4,3,3,Warrior Guild,45,6,1,5,3,4,2
female,MD,24,78000,4,6,2,4,5,3,4,4,3,6,2,2,4,3,1,5,4,5,6,4,3,2,2,3,3,5,3,3,5,4,6,6,7,2,2,5,2,3,1,2,Warrior Guild,,3,1,6,2,4,5
male,FL,22,34000,6,6,5,7,5,6,7,5,4,5,3,7,6,7,3,5,4,1,5,5,4,6,7,6,6,6,7,7,7,4,3,4,3,5,6,7,4,3,5,6,Warrior Guild,41,4,1,2,3,5,6
female,WA,24,64000,4,4,2,4,7,5,5,6,4,5,5,7,6,4,6,5,4,3,4,3,5,1,5,4,2,4,1,4,2,4,3,2,3,6,6,1,2,3,3,7,Warrior Guild,63,4,2,3,6,5,1
male,NY,20,29000,3,4,2,3,1,2,3,3,5,2,2,7,6,6,6,3,6,5,5,6,5,1,6,5,2,3,3,4,4,5,6,4,5,5,5,3,3,5,3,6,Warrior Guild,39,2,4,3,1,6,5
male,HI,23,41000,4,5,3,3,6,6,3,4,4,5,7,6,6,4,5,7,5,2,2,3,2,2,6,3,5,1,2,7,3,5,3,1,3,3,4,4,3,7,6,4,Seraph Guardians,52,5,1,4,6,3,2
male,MS,19,9000,5,1,6,4,6,6,1,7,5,1,2,5,4,5,2,2,5,6,5,7,7,2,2,6,3,5,3,3,3,6,5,5,5,2,1,4,4,3,3,1,Seraph Guardians,27,1,4,3,2,6,5
male,NY,22,50000,4,7,4,4,4,2,6,2,4,7,4,3,2,3,1,7,2,3,4,4,6,2,1,5,3,2,2,3,4,3,3,4,5,1,1,3,5,4,6,1,Evercrest,54,2,1,6,5,3,4
male,AZ,23,34000,4,6,2,3,3,4,3,4,3,7,2,1,3,3,1,6,6,4,3,4,5,3,2,6,1,4,2,3,3,5,4,4,4,2,3,2,3,1,3,1,Seraph Guardians,34,1,3,6,2,4,5
male,MD,29,91000,4,2,2,6,5,3,4,4,5,2,5,1,3,2,5,2,5,2,6,6,7,4,1,7,3,5,4,1,6,7,4,4,3,4,3,5,4,1,3,3,Evercrest,67,1,4,3,2,5,6
female,CT,36,68000,6,5,1,7,3,2,6,3,2,7,4,1,3,1,1,7,3,4,2,3,4,6,1,1,4,4,6,1,1,1,4,4,4,4,3,7,1,6,1,3,Seraph Guardians,57,5,1,6,4,2,3
female,OH,23,27000,1,2,5,4,3,4,4,4,6,1,4,6,5,5,4,1,6,2,3,7,5,6,6,5,5,4,3,6,4,7,1,2,4,3,6,5,5,6,4,4,Evercrest,43,2,4,3,1,6,5
male,TX,21,34000,3,7,4,3,4,7,3,5,6,5,7,5,5,7,5,4,7,3,3,5,5,3,5,3,4,2,4,4,4,6,4,4,3,5,4,3,7,7,6,5,Evercrest,30,5,2,4,6,3,1
female,MI,21,19000,6,4,4,6,7,7,5,6,4,4,4,5,4,4,5,2,5,1,3,4,1,5,5,4,5,4,6,3,4,6,2,2,3,3,1,7,5,3,4,2,Seraph Guardians,21,4,1,2,6,5,3
male,IL,20,24000,4,3,1,3,6,6,5,5,2,3,1,3,2,2,3,3,6,7,3,5,3,5,1,3,4,3,5,2,2,6,7,6,6,1,1,5,1,3,3,2,Seraph Guardians,42,2,3,5,1,4,6
female,WA,65,67000,3,6,2,2,7,6,5,7,3,6,4,7,5,5,5,4,5,2,3,5,1,6,4,3,6,2,5,5,4,2,2,2,2,4,5,6,5,5,2,5,Warrior Guild,45,6,1,3,5,4,2
male,TX,27,38000,2,3,1,5,6,3,4,5,3,4,2,2,2,2,1,3,7,7,6,7,5,2,2,5,4,4,5,1,3,7,7,7,6,1,1,4,2,3,2,2,Seraph Guardians,40,2,4,5,1,3,6
male,TX,22,38000,7,1,2,7,2,5,7,5,5,3,3,2,5,2,4,2,6,5,6,7,4,7,5,3,6,5,6,3,7,3,2,2,4,5,5,6,5,4,3,4,Seraph Guardians,37,3,2,5,1,4,6
male,TX,42,63000,1,4,6,1,6,6,2,6,2,3,6,4,3,3,3,4,6,4,1,7,1,4,3,2,3,1,3,3,2,6,2,3,3,3,3,3,5,6,5,5,Seraph Guardians,66,5,2,4,6,3,1
female,MN,22,27000,2,1,3,2,7,7,4,5,4,5,5,6,7,5,5,3,4,2,6,5,5,4,6,3,4,6,3,4,7,3,2,3,3,3,5,3,2,4,4,6,Seraph Guardians,38,5,3,1,4,6,2
male,TX,28,49000,3,4,3,4,6,7,4,7,4,2,4,5,3,2,4,3,2,3,1,2,3,5,3,5,3,4,4,4,3,1,4,1,3,6,4,4,4,3,4,4,Warrior Guild,48,6,1,3,5,4,2
female,TX,23,34000,7,3,4,6,6,7,7,7,3,4,2,6,7,7,5,3,6,5,5,7,5,6,5,3,6,5,5,5,4,7,4,4,6,3,5,7,4,2,6,4,Warrior Guild,45,3,1,2,4,6,5
male,WI,27,36000,6,3,3,7,6,6,7,6,5,5,5,7,5,4,5,3,5,3,5,7,4,7,5,6,7,4,7,4,4,5,3,2,4,5,5,5,4,5,3,7,Seraph Guardians,48,6,1,2,5,4,3
female,WA,30,69000,3,7,6,2,6,6,3,7,1,7,5,5,7,5,3,7,1,1,1,3,1,3,4,1,3,1,2,4,1,2,1,3,1,3,1,3,4,4,6,2,Evercrest,42,5,1,4,6,3,2
female,AL,21,30000,6,2,3,6,6,5,1,4,3,2,2,6,4,5,3,2,4,3,5,3,2,1,6,5,1,4,1,7,7,2,4,4,3,4,5,5,3,3,5,4,Evercrest,50,2,3,1,5,6,4
female,IL,21,46000,2,5,4,4,1,3,3,1,3,6,3,5,6,6,6,5,3,5,3,6,5,3,5,3,2,1,3,4,1,4,3,5,5,4,4,3,3,2,4,4,Seraph Guardians,51,4,2,5,3,6,1
female,TX,26,55000,4,2,1,3,7,6,3,7,2,3,3,3,2,3,2,2,4,7,3,7,2,4,2,4,3,3,3,2,4,7,7,7,7,2,2,1,5,3,2,2,Seraph Guardians,45,2,3,5,1,4,6
female,FL,29,60000,2,4,4,3,7,6,5,7,6,4,7,4,4,1,7,3,3,3,4,4,4,6,5,3,5,5,4,2,3,5,4,5,3,7,7,4,4,7,6,7,Evercrest,55,6,2,3,5,4,1
male,NE,53,175000,4,7,2,2,2,4,5,3,2,5,3,1,3,2,3,7,4,4,1,4,1,1,2,2,1,5,2,1,4,2,4,2,5,3,5,1,1,3,1,3,Warrior Guild,65,5,1,4,6,3,2
male,IN,26,57000,4,7,1,3,3,1,2,2,2,7,3,4,5,3,1,7,1,3,7,3,4,1,6,3,1,5,1,5,6,3,3,3,3,1,1,2,3,4,2,1,Warrior Guild,43,4,1,6,5,3,2
male,NH,47,169000,3,4,2,5,6,7,2,5,1,6,1,6,6,5,3,5,5,5,2,2,3,2,5,3,1,3,3,3,3,3,6,7,7,3,3,3,2,1,4,2,Seraph Guardians,,4,1,3,5,6,2
male,MA,22,35000,7,7,1,7,4,1,4,3,3,6,3,1,2,1,6,5,3,3,2,3,4,5,1,5,5,1,4,2,3,1,2,1,3,3,4,6,2,1,1,5,Seraph Guardians,35,3,1,6,4,2,5
female,CA,18,15000,6,5,5,5,2,2,2,4,1,7,3,4,5,4,1,4,4,6,3,3,5,1,6,4,1,3,1,7,3,3,4,4,6,2,3,1,5,2,2,3,Seraph Guardians,29,1,3,5,4,6,2
nonbinary,MI,19,20000,1,5,1,3,5,4,2,6,3,1,3,5,5,5,1,1,7,6,4,5,4,1,5,7,1,4,1,4,5,7,7,5,6,1,1,3,4,4,1,3,Seraph Guardians,28,2,3,5,1,6,4
female,GA,25,25000,5,3,4,5,6,5,4,5,5,5,7,7,7,6,5,6,3,3,2,2,4,6,5,4,4,3,3,7,3,3,3,1,3,4,3,5,3,7,3,5,Seraph Guardians,44,5,1,3,6,4,2
male,NY,20,41000,2,3,3,2,5,4,1,5,6,4,2,3,3,4,3,3,7,7,7,6,7,3,4,7,1,5,1,3,5,7,6,7,5,2,2,2,1,3,1,2,Warrior Guild,35,2,4,3,1,6,5
male,OH,41,87000,2,6,5,2,3,2,1,5,1,4,2,4,4,4,1,6,2,2,6,1,1,1,1,1,1,5,2,3,2,3,1,1,3,1,2,1,3,1,3,1,Warrior Guild,57,5,2,3,6,4,1
male,NY,30,95000,6,7,1,7,2,1,4,1,4,7,2,1,2,2,5,6,1,4,2,3,3,5,3,3,6,1,6,2,3,2,4,3,4,4,4,6,2,2,2,4,Evercrest,65,3,1,6,4,2,5
female,NY,32,76000,6,4,6,7,6,4,6,5,3,4,5,4,4,4,5,3,3,5,4,3,2,4,4,3,5,4,5,6,5,4,3,2,4,5,4,6,7,3,6,3,Warrior Guild,56,3,1,2,6,5,4
female,TX,23,52000,7,3,3,7,6,6,5,5,7,5,4,6,6,7,7,4,6,1,7,6,5,3,7,6,3,7,4,5,7,6,2,2,2,7,6,6,2,4,4,7,Seraph Guardians,57,2,3,1,4,6,5
male,AL,26,47000,2,6,3,1,4,3,4,4,4,3,3,2,2,2,5,4,7,5,5,7,4,4,3,5,2,4,2,6,5,7,5,5,3,3,3,2,4,5,3,3,Evercrest,35,2,4,6,1,3,5
male,HI,18,18000,1,3,2,2,1,2,3,1,6,1,2,4,3,2,6,3,5,4,5,5,6,2,3,5,1,5,3,5,5,5,4,7,3,4,4,1,1,6,2,4,Warrior Guild,31,2,5,4,1,6,3
male,WA,36,103000,3,2,1,3,3,5,3,5,3,6,4,2,2,3,3,4,5,7,4,3,3,5,2,1,4,4,5,3,4,3,7,7,5,3,3,3,1,3,1,2,Warrior Guild,,5,2,6,1,3,4
male,TX,20,12000,2,2,2,4,5,5,3,6,4,2,1,5,6,5,2,3,6,3,2,6,3,2,5,5,2,5,2,7,5,6,3,4,4,1,3,4,1,1,2,2,Warrior Guild,24,2,3,4,1,6,5
male,NY,25,73000,5,1,1,2,6,6,4,6,2,2,6,4,5,5,2,3,4,5,4,3,4,4,2,4,3,2,3,3,5,5,7,7,6,2,1,3,1,5,1,4,Seraph Guardians,,3,1,6,2,4,5
male,PA,46,54000,2,3,4,3,5,3,3,4,2,3,2,2,6,3,2,4,5,4,3,4,2,2,3,2,3,2,3,4,1,3,4,5,5,1,1,4,2,1,4,1,Warrior Guild,42,2,1,3,5,6,4
female,UT,18,11000,7,3,1,5,5,3,7,4,4,4,3,5,5,4,4,2,2,4,4,4,5,5,4,5,7,4,6,4,3,3,2,3,4,4,4,4,2,3,3,4,Warrior Guild,31,3,2,4,1,5,6
female,VA,34,91000,3,3,1,5,6,3,4,3,5,1,5,3,1,3,1,3,4,4,3,4,5,4,1,4,6,5,3,3,5,6,3,6,2,2,2,6,1,4,2,3,Evercrest,,4,2,5,1,3,6
male,CT,25,81000,1,3,1,2,6,4,2,4,2,2,4,4,3,4,4,5,4,7,3,4,1,4,4,4,1,1,3,3,1,6,7,7,7,4,4,2,2,5,1,2,Evercrest,52,2,3,6,1,5,4
male,NC,27,59000,7,4,3,7,3,4,6,4,4,3,3,2,4,5,6,4,3,2,5,2,4,5,5,4,4,5,4,5,4,3,2,1,4,4,4,7,4,3,2,3,Seraph Guardians,56,2,1,3,5,4,6
male,CO,20,23000,5,4,2,7,4,7,7,6,5,3,4,6,7,5,7,4,6,4,3,6,5,4,4,4,5,6,5,5,5,4,3,4,4,6,7,7,3,5,4,7,Seraph Guardians,42,3,1,2,5,6,4
male,AL,63,46000,3,7,4,3,4,6,4,4,2,7,2,3,4,4,1,7,1,1,1,3,1,2,3,1,1,1,3,5,2,2,1,2,1,1,1,5,5,3,5,1,Seraph Guardians,38,5,1,4,6,3,2
male,IL,20,18000,1,3,5,4,6,7,3,4,6,6,4,7,6,5,6,4,3,5,4,3,4,3,7,4,3,7,3,6,6,4,3,6,3,4,6,4,4,3,5,5,Seraph Guardians,36,5,3,1,4,6,2
male,WA,18,11000,3,2,3,4,4,1,2,3,1,4,2,1,4,5,1,5,6,2,3,4,4,3,4,3,2,4,2,6,2,4,2,2,5,1,3,1,5,3,4,1,Evercrest,22,3,1,6,5,4,2
male,OK,21,29000,2,3,3,4,4,4,3,3,3,4,5,3,3,3,3,6,5,4,6,5,5,4,3,5,4,5,4,2,4,6,4,4,6,5,5,4,4,3,4,4,Warrior Guild,36,2,3,4,1,6,5
male,FL,26,66000,3,4,4,3,7,7,3,6,2,2,1,1,3,1,2,2,3,7,3,6,3,3,1,3,2,1,3,1,5,4,7,7,7,3,4,1,4,2,3,5,Warrior Guild,49,2,5,3,1,6,4
male,CA,23,44000,3,5,3,4,2,1,3,2,6,5,2,5,4,4,2,5,6,5,5,6,7,2,3,5,5,5,3,5,5,6,4,3,1,2,5,2,2,4,5,2,Seraph Guardians,38,2,3,6,1,4,5
male,WA,27,65000,6,2,2,4,7,5,4,7,2,3,4,3,4,5,1,3,5,7,4,5,2,5,3,2,4,4,3,2,3,6,6,7,7,1,3,4,3,3,3,1,Warrior Guild,55,3,1,4,2,5,6
female,CA,31,72000,3,4,7,3,5,5,4,4,3,4,3,6,6,7,4,4,4,4,5,6,3,5,7,4,6,4,5,7,5,5,1,5,4,5,6,4,7,4,5,3,Warrior Guild,71,5,2,1,4,6,3
female,IA,24,35000,5,4,3,3,4,5,3,4,7,5,6,3,2,5,6,5,4,6,3,5,5,5,4,5,4,1,5,3,3,5,4,5,5,6,6,4,5,7,5,4,Seraph Guardians,40,3,2,6,4,5,1
male,MD,27,46000,7,7,2,4,3,1,4,4,4,6,4,1,1,1,3,4,1,2,4,3,5,2,1,2,3,3,2,1,2,1,5,2,3,2,3,3,3,4,3,3,Seraph Guardians,48,4,1,5,6,2,3
male,KY,21,39000,5,1,4,7,7,7,7,6,6,1,6,3,4,4,2,1,5,1,6,6,5,6,4,5,6,3,6,4,3,4,1,1,1,3,4,6,4,4,3,5,Warrior Guild,48,3,1,2,5,4,6
female,IL,56,72000,6,4,4,3,5,7,5,5,3,4,4,5,5,4,6,4,2,4,2,4,1,6,6,2,5,1,6,6,2,2,4,4,2,4,3,5,3,5,3,4,Seraph Guardians,70,6,1,4,5,3,2
female,FL,20,11000,3,1,1,2,7,7,4,7,3,1,4,5,7,6,4,3,1,1,6,2,5,5,7,4,5,7,4,7,7,2,1,1,2,6,5,5,3,2,2,5,Warrior Guild,24,5,3,1,4,6,2
male,OR,22,28000,4,3,1,4,1,2,4,2,5,5,3,4,4,3,3,4,7,4,4,7,7,5,2,5,3,3,4,3,4,6,4,4,3,3,1,5,1,1,1,4,Seraph Guardians,38,2,4,5,1,3,6
male,PA,18,9000,2,1,3,3,7,6,4,7,7,1,5,3,5,6,1,1,3,1,6,4,5,5,7,3,3,7,2,4,6,2,1,1,1,2,3,3,3,6,2,3,Evercrest,26,4,2,1,5,6,3
female,FL,39,71000,2,7,4,3,3,3,4,4,3,5,5,7,5,4,4,6,5,1,1,4,3,5,4,2,6,1,4,4,1,4,2,2,2,5,4,5,3,6,4,4,Warrior Guild,47,5,1,4,6,3,2
male,AZ,50,88000,2,6,1,3,7,7,3,7,2,6,4,5,4,6,1,7,4,1,1,4,2,3,4,1,6,2,4,5,2,4,1,1,1,2,2,4,3,6,2,3,Evercrest,,6,1,4,5,3,2
male,CA,27,53000,5,5,7,4,7,7,5,5,5,4,6,3,6,4,5,4,4,1,3,3,3,4,5,2,6,2,4,4,2,5,1,1,1,5,4,5,5,6,3,3,Evercrest,47,5,1,3,6,4,2
female,GA,19,19000,7,3,5,5,6,5,6,7,6,3,4,4,4,3,7,3,4,3,4,4,5,6,5,4,3,5,6,4,3,4,2,2,1,5,5,7,6,5,7,6,Evercrest,42,4,1,2,6,5,3
female,CA,21,35000,6,5,1,6,7,7,5,7,5,7,6,5,4,4,4,4,5,7,1,4,5,6,4,5,5,2,6,6,1,5,6,3,4,5,4,6,1,7,1,4,Evercrest,36,6,1,4,5,3,2
female,NJ,31,99000,5,4,2,6,4,2,5,4,4,2,3,2,4,5,5,2,3,4,4,3,3,4,4,4,5,4,5,3,4,4,2,5,4,5,4,5,1,3,1,4,Evercrest,,2,1,5,4,3,6
female,NV,24,28000,4,4,7,3,4,5,3,4,5,4,5,3,3,6,2,6,4,4,6,4,4,3,2,4,1,4,1,2,3,3,1,2,2,1,1,3,6,4,6,1,Evercrest,36,3,1,5,6,4,2
male,SC,33,50000,1,7,3,5,3,2,3,2,2,7,1,5,2,5,3,7,6,3,2,3,2,1,6,4,2,3,4,2,1,4,4,4,3,3,3,4,1,2,2,1,Evercrest,55,4,1,6,5,3,2
male,MN,24,71000,7,4,4,5,4,4,7,2,6,3,5,4,6,4,6,4,6,5,2,5,6,7,3,5,6,4,5,4,5,5,6,5,4,5,5,7,3,6,5,5,Seraph Guardians,,3,1,6,4,2,5
male,CO,20,31000,4,2,2,1,4,4,4,3,5,1,3,4,4,3,4,2,5,5,6,3,5,7,2,5,6,5,6,3,7,4,4,4,3,2,2,5,2,2,4,2,Warrior Guild,34,2,4,3,1,6,5
female,TX,21,22000,5,5,5,6,4,4,7,6,5,2,7,7,6,4,7,3,5,3,5,7,6,7,7,6,7,6,7,5,5,6,2,4,4,6,7,7,6,6,5,7,Evercrest,51,4,1,2,3,6,5
female,NY,18,18000,2,7,5,4,3,2,3,2,5,6,3,5,4,5,3,7,3,1,4,3,4,2,1,5,2,3,1,5,3,3,1,4,4,2,2,2,3,3,3,2,Evercrest,26,3,1,5,6,4,2
male,NJ,24,74000,5,3,2,4,3,3,1,1,3,3,3,1,2,2,6,5,5,5,4,6,4,3,3,2,1,4,4,2,5,6,3,5,5,4,4,4,2,2,4,1,Evercrest,58,1,4,5,2,3,6
male,NV,20,14000,7,5,6,6,5,4,6,7,5,4,4,3,4,3,2,4,5,1,3,4,6,4,2,7,4,3,4,2,3,3,2,2,3,3,2,5,6,5,6,2,Warrior Guild,22,3,1,5,6,2,4
male,MD,22,27000,6,2,2,6,5,3,6,3,4,2,3,4,5,5,4,2,7,4,5,6,6,6,3,7,5,2,6,3,3,6,5,5,5,4,6,5,3,2,3,4,Warrior Guild,36,2,3,5,1,4,6
female,CA,24,31000,3,6,3,2,4,5,4,4,4,5,7,7,6,7,4,6,3,4,5,3,3,4,7,3,1,6,2,7,4,5,3,5,4,5,6,5,3,5,4,5,Evercrest,45,5,2,3,4,6,1
male,CA,26,80000,3,4,4,5,7,7,1,7,4,2,2,6,4,6,2,5,5,2,4,6,5,1,5,4,2,6,2,7,4,7,2,5,4,3,3,4,7,2,7,2,Seraph Guardians,55,4,3,1,5,6,2
female,NE,31,36000,6,4,6,5,5,5,4,6,4,3,3,3,4,3,7,2,5,4,5,6,3,3,3,2,4,6,5,3,7,5,3,4,3,6,6,3,2,4,4,7,Evercrest,41,4,2,1,5,6,3
male,MI,21,26000,3,7,3,3,3,2,3,4,4,7,2,3,3,2,1,6,1,2,3,1,3,3,4,5,2,4,2,3,2,2,5,5,5,2,1,2,2,3,2,1,Evercrest,26,4,1,6,3,5,2
female,NY,18,8000,4,3,5,4,5,6,5,5,4,3,2,5,5,5,2,4,6,3,6,3,4,4,5,4,6,7,5,5,6,5,3,5,3,5,4,4,6,1,5,2,Evercrest,37,3,4,1,2,6,5
male,MO,26,67000,2,4,3,3,3,5,5,4,4,3,2,2,2,4,5,3,4,6,3,3,4,2,2,5,1,3,1,1,5,4,5,3,5,7,6,2,3,3,3,4,Seraph Guardians,50,2,4,3,1,6,5
male,SD,24,48000,7,5,2,6,1,1,6,1,5,1,3,3,2,2,6,3,5,2,3,4,4,7,2,4,5,4,5,3,2,3,3,2,4,6,6,7,2,2,1,5,Warrior Guild,63,3,2,5,4,1,6
male,TX,27,55000,4,6,3,3,1,1,4,3,4,7,2,4,3,5,1,7,5,3,4,1,6,2,4,5,3,4,3,4,1,3,4,3,3,1,1,4,2,3,2,1,Warrior Guild,43,2,1,6,4,3,5
female,AZ,24,36000,4,7,5,2,4,4,4,3,4,7,2,4,6,5,2,6,2,2,3,3,1,2,4,4,3,1,1,6,2,3,3,2,3,4,4,4,3,3,4,4,Evercrest,39,5,2,3,6,4,1
female,CA,29,48000,5,6,2,3,5,4,3,6,2,5,3,2,4,3,1,6,4,4,3,3,2,1,2,1,1,2,1,5,3,4,2,4,2,1,1,2,3,2,3,1,Evercrest,40,4,1,5,6,3,2
male,WA,18,17000,5,7,2,5,6,4,2,3,3,6,2,4,4,5,1,7,4,4,4,3,6,1,5,7,1,6,1,5,5,4,4,3,3,1,2,2,4,1,2,2,Warrior Guild,19,1,2,6,3,4,5
male,CA,21,22000,5,5,4,6,7,6,6,7,2,7,3,3,4,1,4,6,7,3,3,6,4,4,4,4,6,5,6,4,2,5,2,3,3,7,5,4,5,2,4,5,Warrior Guild,43,5,1,3,6,4,2
